RUN m4_a_wogh_cate6p8_ite10p8 {'name': 'm4_a_wogh_cate6p8_ite10p8', 'sota_lambda_pred': 9.2, 'sota_lambda_sens': 5.2, 'sota_lambda_cate': 12.8, 'ablation_lambda_pred': 0.08, 'ablation_lambda_cate': 5.2, 'ablation_lambda_ite': 9.0, 'ablation_lambda_hsic': 0.08, 'wogh_lambda_pred': 0.04, 'wogh_lambda_cate': 6.8, 'wogh_lambda_ite': 10.8, 'wogh_lambda_hsic': 0.1}
Script started...

[Seed 42] Loading data...
Training Full DLC (SOTA) from scratch (Seed 42)
[Full DLC (SOTA)] Epoch 5/100 | loss_total=3.3195 recon=0.0735 hsic=0.0208 pred=0.3475 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Epoch 10/100 | loss_total=3.2256 recon=0.0262 hsic=0.0203 pred=0.3438 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Epoch 15/100 | loss_total=3.1953 recon=0.0192 hsic=0.0199 pred=0.3423 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep20 | score=1002.2200 AUC=0.7961 Acc=0.8196 F1=0.5781 PEHE=0.0478 dCATE=0.1475 Sens=0.0011 thr=0.22 feasible=1
[Full DLC (SOTA)] Epoch 20/100 | loss_total=3.1176 recon=0.0173 hsic=0.0201 pred=0.3335 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep25 | score=1002.2321 AUC=0.7954 Acc=0.8296 F1=0.5762 PEHE=0.0514 dCATE=0.1599 Sens=0.0010 thr=0.22 feasible=1
[Full DLC (SOTA)] Epoch 25/100 | loss_total=3.1033 recon=0.0144 hsic=0.0199 pred=0.3281 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep30 | score=1002.2283 AUC=0.7967 Acc=0.8129 F1=0.5648 PEHE=0.0633 dCATE=0.2001 Sens=0.0014 thr=0.17 feasible=1
[Full DLC (SOTA)] Epoch 30/100 | loss_total=3.1015 recon=0.0140 hsic=0.0204 pred=0.3230 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep35 | score=1002.2401 AUC=0.7966 Acc=0.8163 F1=0.5600 PEHE=0.0390 dCATE=0.1784 Sens=0.0012 thr=0.20 feasible=1
[Full DLC (SOTA)] Epoch 35/100 | loss_total=3.1120 recon=0.0131 hsic=0.0206 pred=0.3199 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep40 | score=1002.2109 AUC=0.7908 Acc=0.8163 F1=0.5576 PEHE=0.0269 dCATE=0.1400 Sens=0.0015 thr=0.18 feasible=1
[Full DLC (SOTA)] Epoch 40/100 | loss_total=3.1032 recon=0.0128 hsic=0.0205 pred=0.3147 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep45 | score=1002.2510 AUC=0.7941 Acc=0.8318 F1=0.5598 PEHE=0.0249 dCATE=0.1584 Sens=0.0012 thr=0.21 feasible=1
[Full DLC (SOTA)] Epoch 45/100 | loss_total=3.1078 recon=0.0112 hsic=0.0207 pred=0.3114 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep50 | score=1002.2333 AUC=0.7933 Acc=0.8185 F1=0.5630 PEHE=0.0263 dCATE=0.1505 Sens=0.0011 thr=0.16 feasible=1
[Full DLC (SOTA)] Epoch 50/100 | loss_total=3.1193 recon=0.0110 hsic=0.0207 pred=0.3084 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep55 | score=1002.2228 AUC=0.7901 Acc=0.8229 F1=0.5571 PEHE=0.0306 dCATE=0.1532 Sens=0.0012 thr=0.16 feasible=1
[Full DLC (SOTA)] Epoch 55/100 | loss_total=3.0939 recon=0.0109 hsic=0.0206 pred=0.3056 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep60 | score=1002.2096 AUC=0.7929 Acc=0.7973 F1=0.5450 PEHE=0.0217 dCATE=0.1591 Sens=0.0014 thr=0.15 feasible=1
[Full DLC (SOTA)] Epoch 60/100 | loss_total=3.0992 recon=0.0108 hsic=0.0207 pred=0.3061 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep65 | score=1002.2349 AUC=0.7922 Acc=0.8341 F1=0.5387 PEHE=0.0229 dCATE=0.1652 Sens=0.0015 thr=0.26 feasible=1
[Full DLC (SOTA)] Epoch 65/100 | loss_total=3.0571 recon=0.0101 hsic=0.0205 pred=0.3023 distill=0.0000 aux=0.0000
